gacco,3,16,1048576,263374,0
gputx,3,16,1048576,48118.8,0
tpl_nw,3,16,1048576,63136.2,30466541116
tpl_wd,3,16,1048576,58331.2,2365883567
to,3,16,1048576,9170.86,2179939520
mvcc,3,16,1048576,60511.2,36426918
silo,3,16,1048576,53967.4,4710070
tictoc,3,16,1048576,77766,1035294013
slowto,3,16,1048576,1383.75,155536914
slowmvcc,3,16,1048576,1018.11,108102905
gacco,3,16,1048576,291484,0
gputx,3,16,1048576,151837,0
tpl_nw,3,16,1048576,127473,12523979632
tpl_wd,3,16,1048576,117074,778651833
to,3,16,1048576,35065.8,624094429
mvcc,3,16,1048576,126917,24290112
silo,3,16,1048576,100974,3315336
tictoc,3,16,1048576,144916,520683031
slowto,3,16,1048576,3287.61,71153127
slowmvcc,3,16,1048576,2338.31,52243625
gacco,3,16,1048576,524381,0
gputx,3,16,1048576,436959,0
tpl_nw,3,16,1048576,246896,5563314372
tpl_wd,3,16,1048576,250634,210602549
to,3,16,1048576,46715.2,496875964
mvcc,3,16,1048576,336752,15091393
silo,3,16,1048576,306897,2067477
tictoc,3,16,1048576,248026,261958199
slowto,3,16,1048576,7798.48,32361087
slowmvcc,3,16,1048576,5690.62,23772287
gacco,3,16,1048576,1.6446e+06,0
gputx,3,16,1048576,925527,0
tpl_nw,3,16,1048576,726461,2897552901
tpl_wd,3,16,1048576,1.11617e+06,97006445
to,3,16,1048576,218973,107829785
mvcc,3,16,1048576,759781,18504556
silo,3,16,1048576,612316,2387378
tictoc,3,16,1048576,817790,122162047
slowto,3,16,1048576,20847.2,15485102
slowmvcc,3,16,1048576,13652.9,11049772
gacco,3,16,1048576,2.84554e+06,0
gputx,3,16,1048576,1.79681e+06,0
tpl_nw,3,16,1048576,1.17191e+06,1463321870
tpl_wd,3,16,1048576,1.45063e+06,104000249
to,3,16,1048576,1.86275e+06,49163084
mvcc,3,16,1048576,1.49489e+06,15703623
silo,3,16,1048576,793213,3764057
tictoc,3,16,1048576,1.50962e+06,58463551
slowto,3,16,1048576,50071.9,7576659
slowmvcc,3,16,1048576,36315.5,5249982
