gacco,3,16,1048576,5.15185e+06,0
gputx,3,16,1048576,1.07389e+07,0
tpl_nw,3,16,1048576,2.10172e+07,0
tpl_wd,3,16,1048576,2.06718e+07,0
to,3,16,1048576,2.1729e+07,0
mvcc,3,16,1048576,2.31125e+07,0
silo,3,16,1048576,2.28012e+07,0
tictoc,3,16,1048576,2.26078e+07,0
slowto,3,16,1048576,1.18207e+07,0
slowmvcc,3,16,1048576,8.83757e+06,0
gacco,3,16,1048576,4.88069e+06,0
gputx,3,16,1048576,1.93722e+06,0
tpl_nw,3,16,1048576,2.06532e+06,187653863
tpl_wd,3,16,1048576,1.8949e+06,168859522
to,3,16,1048576,1.5107e+06,3459489
mvcc,3,16,1048576,1.18589e+06,8576724
silo,3,16,1048576,6.68708e+06,513424
tictoc,3,16,1048576,1.05282e+07,186967
slowto,3,16,1048576,1.34061e+06,387979
slowmvcc,3,16,1048576,594530,111646
gacco,3,16,1048576,4.82328e+06,0
gputx,3,16,1048576,1.23495e+06,0
tpl_nw,3,16,1048576,1.39835e+06,313742861
tpl_wd,3,16,1048576,1.10262e+06,302367769
to,3,16,1048576,806186,9248935
mvcc,3,16,1048576,756452,15924367
silo,3,16,1048576,3.81859e+06,703930
tictoc,3,16,1048576,6.08723e+06,452759
slowto,3,16,1048576,707666,805269
slowmvcc,3,16,1048576,287004,286760
gacco,3,16,1048576,4.83156e+06,0
gputx,3,16,1048576,915570,0
tpl_nw,3,16,1048576,1.09079e+06,443020319
tpl_wd,3,16,1048576,852565,347230802
to,3,16,1048576,566890,18816351
mvcc,3,16,1048576,554829,47955634
silo,3,16,1048576,2.77966e+06,723257
tictoc,3,16,1048576,4.89962e+06,872369
slowto,3,16,1048576,456726,1236457
slowmvcc,3,16,1048576,193771,520751
gacco,3,16,1048576,4.85171e+06,0
gputx,3,16,1048576,731916,0
tpl_nw,3,16,1048576,954346,539226807
tpl_wd,3,16,1048576,712690,348332986
to,3,16,1048576,442726,35425441
mvcc,3,16,1048576,589134,105701352
silo,3,16,1048576,1.98438e+06,668207
tictoc,3,16,1048576,3.89441e+06,1428313
slowto,3,16,1048576,340459,1678397
slowmvcc,3,16,1048576,147347,780162
gacco,3,16,1048576,4.41892e+06,0
gputx,3,16,1048576,654498,0
tpl_nw,3,16,1048576,875911,620144954
tpl_wd,3,16,1048576,635669,328328762
to,3,16,1048576,384328,50782966
mvcc,3,16,1048576,745010,153998897
silo,3,16,1048576,1.27989e+06,542361
tictoc,3,16,1048576,3.16419e+06,2189282
slowto,3,16,1048576,284227,2030376
slowmvcc,3,16,1048576,129351,1061603
