gacco,3,16,1048576,2.20777e+06,0
gputx,3,16,1048576,368617,0
tpl_nw,3,16,1048576,102363,20896085269
tpl_wd,3,16,1048576,93925.2,1457087297
to,3,16,1048576,116224,87520869
mvcc,3,16,1048576,96596.2,18475925
silo,3,16,1048576,108793,7728568
tictoc,3,16,1048576,261801,62976415
slowto,3,16,1048576,15983.1,16969043
slowmvcc,3,16,1048576,13023,11147732
gacco,3,16,1048576,3.89576e+06,0
gputx,3,16,1048576,654911,0
tpl_nw,3,16,1048576,262503,10575659358
tpl_wd,3,16,1048576,246199,1222060666
to,3,16,1048576,357650,39591437
mvcc,3,16,1048576,333076,8780840
silo,3,16,1048576,145883,3355631
tictoc,3,16,1048576,420621,32845417
slowto,3,16,1048576,43838.5,9086782
slowmvcc,3,16,1048576,31895.6,5643414
gacco,3,16,1048576,6.98924e+06,0
gputx,3,16,1048576,1.15214e+06,0
tpl_nw,3,16,1048576,795009,4615995199
tpl_wd,3,16,1048576,724899,1454774396
to,3,16,1048576,959803,13493095
mvcc,3,16,1048576,1.09602e+06,5040136
silo,3,16,1048576,263788,2089654
tictoc,3,16,1048576,685036,16280788
slowto,3,16,1048576,136218,5381028
slowmvcc,3,16,1048576,118109,3411587
gacco,3,16,1048576,9.05631e+06,0
gputx,3,16,1048576,1.96689e+06,0
tpl_nw,3,16,1048576,1.6648e+06,2327768431
tpl_wd,3,16,1048576,1.68811e+06,893143305
to,3,16,1048576,2.16854e+06,4577199
mvcc,3,16,1048576,2.55807e+06,2293893
silo,3,16,1048576,607834,1861814
tictoc,3,16,1048576,1.14682e+06,7720287
slowto,3,16,1048576,1.37071e+06,4545922
slowmvcc,3,16,1048576,934142,2767625
gacco,3,16,1048576,1.03206e+07,0
gputx,3,16,1048576,3.15516e+06,0
tpl_nw,3,16,1048576,3.22741e+06,1224719161
tpl_wd,3,16,1048576,3.5353e+06,666309531
to,3,16,1048576,4.03326e+06,1778678
mvcc,3,16,1048576,4.09697e+06,1311896
silo,3,16,1048576,1.92359e+06,2399922
tictoc,3,16,1048576,1.83803e+06,3587373
slowto,3,16,1048576,2.62786e+06,2126330
slowmvcc,3,16,1048576,2.49189e+06,1537755
