tpl_nw,5,32,1048576,185813,676579859,0,7.21373e-05,0.970306,0.0707895,1.16134,0.0463591,7.6832e-05,5.64307,5.64317
tpl_wd,5,32,1048576,171443,597602831,0,0.0309668,1.55152,0.107563,1.7477,0.0458401,8.0896e-05,6.11609,6.11619
to,5,32,1048576,179448,62657107,0.012349,0.0168349,1.18506,0.0888436,1.34694,0.0544499,0.000104448,5.84322,5.84336
mvcc,5,32,1048576,115918,23040244,0.00504469,0.0748861,1.93928,0.179521,2.1836,0.053478,0.000334784,9.04552,9.04587
silo,5,32,1048576,790253,5267459,0,0.00568557,0.412866,0.0676415,0.529973,0.0447493,7.7824e-05,1.32679,1.32689
tictoc,5,32,1048576,937149,3499912,0,0.0393908,0.210591,0.108603,0.368792,0.0447932,8.272e-05,1.1188,1.1189
slow_tpl_nw,5,32,1048576,117860,32007168,0,0.0204236,1.5541,0.11286,1.73264,0.0568175,0.000126592,8.89665,8.8968
slow_tpl_wd,5,32,1048576,114272,23107443,0,0.0448913,1.65048,0.142692,1.85703,0.0576277,0.000125952,9.17599,9.17614
slow_to,5,32,1048576,157008,14969771,0.00328435,0.385157,2.7579,0.108736,2.93426,0.0589368,0.000132448,6.67834,6.67851
slow_mvcc,5,32,1048576,119847,6860404,0.00153864,0.268346,1.38338,0.264536,1.71278,0.0584211,0.000379776,8.7489,8.74931
slow_silo,5,32,1048576,341133,2003825,0,0.0633522,0.629674,0.129019,0.816119,0.0532085,0.000126816,3.07365,3.0738
slow_tictoc,5,32,1048576,327542,3840529,0,0.0811158,0.492173,0.162019,0.713149,0.0545562,0.000131072,3.20119,3.20135
